album_name	album_id	album_release_date	album_type	track_name	track_id	track_duration_ms	track_tempo	track_key	track_mode	track_danceability	track_energy	track_loudness	track_speechiness	track_acousticness	track_instrumentalness	track_liveness	track_valence	track_time_signature
El Ultimo Concierto A (Remastered)	3QTxxZucih0hympCczXXuO	1997-10-09	album	En El Séptimo Día - Remasterizado 2007	6wo8yue6rY0pY2zmztMMCj	297440	107.314	4	1	0.483	0.848	-6.17	0.033	1.48e-05	0.0248	0.985	0.612	1
El Ultimo Concierto A (Remastered)	3QTxxZucih0hympCczXXuO	1997-10-09	album	Canción Animal - Remasterizado 2007	7KCTbCIcb2acPttGcCkKbe	257800	105.086	4	0	0.573	0.779	-6.683	0.0266	0.0206	0.0552	0.947	0.669	4
El Ultimo Concierto A (Remastered)	3QTxxZucih0hympCczXXuO	1997-10-09	album	Trátame Suavemente - Remasterizado 2007	2LxyITcslKIKdMyYdHdA5l	244200	104.523	7	1	0.47	0.576	-8.687	0.0289	0.181	0.299	0.744	0.0878	4
El Ultimo Concierto A (Remastered)	3QTxxZucih0hympCczXXuO	1997-10-09	album	Paseando Por Roma - Remasterizado 2007	0zp92Miwhh5vO3B3dhxrxI	223066	127.879	9	0	0.459	0.793	-6.79	0.0407	0.00011	0.152	0.701	0.336	4
El Ultimo Concierto A (Remastered)	3QTxxZucih0hympCczXXuO	1997-10-09	album	Lo Que Sangra (La Cúpula) - Remasterizado 2007	67XS7eWumbLVktm0QSkks4	316826	102.931	0	1	0.381	0.87	-5.804	0.042	0.0302	0.00973	0.818	0.634	4
El Ultimo Concierto A (Remastered)	3QTxxZucih0hympCczXXuO	1997-10-09	album	Zoom - Remasterizado 2007	1hQ02BkTnR0BNs3SAznttM	214666	94.261	4	1	0.631	0.871	-7.161	0.0344	0.0452	0.00952	0.966	0.855	4
El Ultimo Concierto A (Remastered)	3QTxxZucih0hympCczXXuO	1997-10-09	album	Signos - Remasterizada 2007	62jnuBopQmg4qx6hpYltC9	271400	122.701	9	0	0.518	0.712	-9.269	0.0297	0.143	0.0629	0.612	0.509	4
El Ultimo Concierto A (Remastered)	3QTxxZucih0hympCczXXuO	1997-10-09	album	Ella Usó Mi Cabeza Como Un Revólver - Remasterizado 2007	6M33ukGn1XGp1Lv5FhbcZy	278666	82.711	5	1	0.477	0.723	-5.93	0.0259	0.0111	0.00972	0.919	0.27	4
Comfort Y Musica Para Volar	5RJLKN7ucuVaRAUzNKtKB8	1996-09-01	album	En la Ciudad de la Furia - MTV Unplugged	2p4FOWHHd2A6TBmTkdt1G0	522000	170.604	11	0	0.361	0.519	-10.02	0.0597	0.415	0.057	0.845	0.266	4
Comfort Y Musica Para Volar	5RJLKN7ucuVaRAUzNKtKB8	1996-09-01	album	Un Misil En Mi Placard - MTV Unplugged	7IJC1qatyg2t8SZiwJRvID	274586	95.964	11	0	0.502	0.782	-7.707	0.0243	0.00223	0.00108	0.907	0.613	4
Comfort Y Musica Para Volar	5RJLKN7ucuVaRAUzNKtKB8	1996-09-01	album	Pasos - MTV Unplugged	4Tm0tTVcYTyn5lD7qEJkVU	163133	90.69	5	1	0.471	0.657	-7.579	0.0301	0.0674	5.15e-05	0.682	0.383	4
Comfort Y Musica Para Volar	5RJLKN7ucuVaRAUzNKtKB8	1996-09-01	album	Entre Canibales - MTV Unplugged	060aWWmC9CrLqbhzHQifQf	294146	110.927	4	0	0.635	0.677	-7.149	0.0278	0.018	0.0154	0.946	0.536	4
Comfort Y Musica Para Volar	5RJLKN7ucuVaRAUzNKtKB8	1996-09-01	album	Te Para 3 - MTV Unplugged	2kMVxFh1y5gow2hBtqGO4m	247000	115.7	2	1	0.523	0.339	-9.913	0.0275	0.707	0.0111	0.709	0.117	3
Comfort Y Musica Para Volar	5RJLKN7ucuVaRAUzNKtKB8	1996-09-01	album	Angel Electrico - MTV Unplugged	7H8TNV5Vc6poupuNxaE6KG	285280	91.877	0	1	0.428	0.764	-8.512	0.0436	0.112	0.0296	0.73	0.447	4
Comfort Y Musica Para Volar	5RJLKN7ucuVaRAUzNKtKB8	1996-09-01	album	Ella Uso Mi Cabeza Como Un Revolver - MTV Unplugged	00TU7szqwBrxWTd9SO7ihK	364493	82.858	0	0	0.396	0.764	-7.348	0.0342	0.00284	0.0128	0.708	0.236	4
Comfort Y Musica Para Volar	5RJLKN7ucuVaRAUzNKtKB8	1996-09-01	album	Sonoman (Banda De Sonido)	3KNdFPnW6CcRJOo7ONL2mg	205466	96.609	4	0	0.548	0.84	-10.266	0.0523	0.000295	0.616	0.538	0.0879	4
Comfort Y Musica Para Volar	5RJLKN7ucuVaRAUzNKtKB8	1996-09-01	album	Planeador	1css4Yf4FaorSKniMFMdJw	275173	122.099	7	1	0.186	0.428	-11.528	0.0384	0.0206	0.752	0.297	0.117	4
Comfort Y Musica Para Volar	5RJLKN7ucuVaRAUzNKtKB8	1996-09-01	album	Coral	13fEiuZo5A4aiPNRds3OpM	222133	88.452	6	0	0.511	0.574	-9.888	0.0317	0.0224	0.0103	0.0819	0.262	4
Comfort Y Musica Para Volar	5RJLKN7ucuVaRAUzNKtKB8	1996-09-01	album	Superstar	6PudNM0mVIi3ipGCSUW8gu	248333	120.104	0	1	0.555	0.692	-9.717	0.0299	1.58e-05	0.506	0.2	0.551	1
Sueño Stereo (Remastered)	1A3VRbn7Kto2ov0LkSY0eg	1995-10-09	album	Ella Usó Mi Cabeza Como Un Revólver - Remasterizado 2007	5RzXSxR7BUhEtpqh77lMbR	269760	165.415	2	0	0.374	0.759	-6.871	0.0261	0.00371	0.0174	0.104	0.289	4
Sueño Stereo (Remastered)	1A3VRbn7Kto2ov0LkSY0eg	1995-10-09	album	Disco Eterno - Remasterizado 2007	1MgAlKWp9ntSF5DRG6vKYl	346026	150.076	0	1	0.549	0.795	-7.169	0.0268	0.00224	0.188	0.293	0.573	4
Sueño Stereo (Remastered)	1A3VRbn7Kto2ov0LkSY0eg	1995-10-09	album	Zoom - Remasterizado 2007	1djou52IdL1mVEE7gTauxo	206306	93.923	4	1	0.693	0.823	-6.433	0.0292	0.0759	0.185	0.0574	0.949	4
Sueño Stereo (Remastered)	1A3VRbn7Kto2ov0LkSY0eg	1995-10-09	album	Ojo De La Tormenta - Remasterizado 2007	5Q943XYZo0Xvq4qUQebmWC	273160	95.009	9	1	0.539	0.833	-6.527	0.0262	0.000419	0.307	0.319	0.522	4
Sueño Stereo (Remastered)	1A3VRbn7Kto2ov0LkSY0eg	1995-10-09	album	Efecto Doppler - Remasterizado 2007	78fEwrT5UGW1CZfFnEqmUk	302800	110.892	11	1	0.545	0.664	-10.704	0.033	0.0382	0.691	0.201	0.496	4
Sueño Stereo (Remastered)	1A3VRbn7Kto2ov0LkSY0eg	1995-10-09	album	Paseando Por Roma - Remasterizado 2007	7Dk43uYcLammTOb4kS7Q9g	214186	127.746	9	0	0.515	0.734	-5.547	0.0357	0.000928	0.0461	0.09	0.454	4
Sueño Stereo (Remastered)	1A3VRbn7Kto2ov0LkSY0eg	1995-10-09	album	Pasos - Remasterizado 2007	7KMxBakqV7SKVrS6qDv2yq	233706	88.906	5	1	0.469	0.581	-10.358	0.0341	0.0626	0.0497	0.102	0.356	4
Sueño Stereo (Remastered)	1A3VRbn7Kto2ov0LkSY0eg	1995-10-09	album	Angel Eléctrico - Remasterizado 2007	40DSOFzJigXSQZkSOM32rs	276226	171.094	9	0	0.321	0.694	-7.034	0.0323	0.000945	0.325	0.11	0.154	4
